Datum,Titel,Ereignis,Personen,Literatur,Archiv,Signatur/Inventarnr.,Folierung,Quelle
1774-02-28,Anlage B zum Bericht  1774-05-12 Reglement bezüglich des Steinhandels in Obernkirchen verfasst durch Amtsmann von Cölln,"Der Amtmann von Cölln hat die notwendigen Schritte zur Förderung des Handels mit Obernkirchener Sandstein aus der hessischen Grafschaft Schaumbrug in 14 Punkte zusammengefasst. Um den Handel anzukurbeln müsse 1. die Höhe der Schulden der Obernkirchener Steinhauern festgestellt und 2. jeweilige Raten für die Rückzahlung der Kredite festgelegt werden. Damit einher gehe 3., dass der Steinpreis entsprechend angepasst werden müsse, um eine Rückzahlung der Schulden zu ermöglichen. Die Kaufleute sollen 5. weiterhin in der Lage sein, Steine von ihren Schuldnern zu beziehen, sollen aber den festgelegten, höheren Preis zahlen. Der Amtmann sieht vor, dass die Kaufleute dann 5. den höheren Preis am Berg durch eine Erhöhung der Preise ihrerseits für die Endabnehmer in ""Bremen - Amsterdam - Hamburg etc."" wettmachen könnten. Die Punkte 1-5 sollen als Grundlage dienen, um 6. die Höhe der jährlichen Vorschüsse an die Steinhauermeister durch ihre Steinhändler zu bemessen. Daraufhin soll ihnen eine Bescheinigung erteilt werden, in dem ein Kreditbezug erlaubt oder verboten wird. 7. ""Dieses Attestat [ ? ] nicht gegeben werden, bis der Debitor documentert, entweder - daß er den vorhergehenden Vorschuß gerichtiget - oder die Steine zu Kohlenstädt am Waßer - oder wenigstens in den Bruche beschicket wären - in welcher letzern falle aber so viel mehr Steine Vorräth seyn müßen, als das Fuhrlohn - wan selbiges auch schon ausgezahlet - betrüge."" Die Steinqualität und -quantität soll 8. nicht allein von den Altmeistern bestimmt, sonderen eine offizielle Kommission eingerichtet werden. Die auch 9. die Bücher der Steinhauer über den Steinhandel ebenso kontrolliert wie 10. die Schiffsfracht. Einer Erhöhung der Schiffsbeladung wird in Ausnahmefällen zugestimmt (11.). Die Kommission übernimmt 12. die Bürgschaft für die Vorschüße in Fällen, in denen bereits konkrete Bestellungen sowie gültige ""Attestate"" vorliegen. Bei anderen Handlungen tragen die Kaufleute selbst die Verantwortung für Verluste. Die Steinbearbeitung soll 13. unter den Steinhauern durch die Altmeister ""gleich vertheilet und wie 14. Diese fertigen Arbeit verkauft werden soll - von den gantzen Amte bestimmet"" werden. Insbesondere die Punkte 13 und 14 sollen jedoch, so der Verfasser, streng kontrolliert werden, um einseitige Bereicherungen zu verhindern.
Verknüpfungswunsch: ID #11756; ID #745; ID #12032; ID#12029","ID #5703; B. von Cölln (Amtmann), ",,HStAM,"55a, Nr. 1608",16r-17v,
1774-04-28,Kopie eines Schreibens des Bremer Steinhändlers Herman Bielfeldt bezüglich Einigung über Konditionen zum Sandsteinhandel an Amtmann von Cölln?,"Kopie durch Amtmann B. von Cölln eines Schreibens von Hermann Bielefeldt, Steinhändler in Bremen. Bielefeldt geht auf die bisherige Korrespondenz mit v. Cölln ein. Er möchte einiges richtig stellen. So habe er bereits mit verschiedenen Steinhauermeistern in Obernkirchen die Kreditsituation besprochen und sei mit diesen übereingekommen, dass diese das Kapital zur Verbesserung der Steinbrüche einsetzten. Darüber hinaus sei der Handel eines jeden in Bremen frei, aber er selbst stehe bereits seit geraumer Zeit in Verhandlung über eine Partie Stein, die nun an jemand anderen komme. ""In jemehreren händen die Steine zu Verhandeln komen, je ungewißer und unbeständiger wird er..."" Bielefeldt spricht sich also für eine Monopolisierung des Steines auf höchsten zwei Akteure aus. Er erhofft, den Zuschlag zu bekommen, nimmt dafür auch die Erhöhung der Preise in Kauf. Bielefeldt verspricht eine jährliche Abnahme von 1000 Fudern, deren Abbau und Bearbeitung gerecht unter der Steinhauerzunft verteilt werden soll. Bielefeld wünscht aber noch eine Differenzierung der Preise. Hinweis auf bereits geschlossenes Geschäft zwischen ihm und Steinhauermeister Eickmann.
Verknüpfungswunsch: ID #668; ID #745; ID #11756; ID #12029","Hermann Bielfeldt (Steinhändler in Bremen), B. von Cölln (Amtmann), Steinhauermeister Eickmann (Obernkirchen)",,HStAM,"55a, Nr. 1608",20r-21v,
1774-05-12,Bericht des Kasseler Rats Möller an den Landgraf und Fürsten  betreffend der Vergabe des Obernkirchener Sandsteinhandels an Bremer Steinhändler Bielefeld,"Schreiben an den Landesherrn bezüglich der Neuregelung des Obernkirchener Sandsteinhandels. Der Verfasser Möller hat zur Beförderung des Sandsteinhandels mit dem hessischen Agenten Grovermann sowie den beiden Bremer Kaufleuten Hermann Bielefeldt und Johann Nonne Kontakt aufgenommen und will nun letzte Anweisungen, ""wie dieser Steinhandel künftig zubetreiben"" und zu welchen Preisen der Handel zukünftig stattfinden soll. Es wird im Bericht auf vier Anlagen verwiesen, Anlage A ist eine Preisliste mit neuem und altem Steinpreis, Anlage B enthält das neue Reglement über den Steinhandel und ""die Anlage Sub Lit: C daß der Kaufmann Bielefeldt - mit einer geringen ausnahme bey kleinen stücken - den Preiß der Steine und die Arth wie der handel betrieben werden soll anzunehmen bereit stehe."" Der Verfasser stellt die Verhandlungen mit den Beteiligten dar. Agent Grovermanns Zusage ist noch unsicher, wohingegen Johann Nonne verstorben und sein Erbe unter 6 Personen aufgeteilt worden sei, so dass an dieser Stelle kein Interesse mehr am Steinhandel bestehe. Darüber hinaus hat es Bielefeldt zur Bedingung gemacht, dass das Monopol höchstens von zwei Personen ausgeführt werden darf. Bielefeldt sei besonders geeignet, ""weil Er - da dessen Vater schon mit Steinen gehandelt - by diesre Art handlung erzogen, mithin, daß er die beste einsicht davon haben muß - sehr zu vermuthen ist ..."" Vor der Zustimmung Bielefelds zum Handel musste der Verfasser diesen erst einmal durch einen Trick? von den Gewinnmöglichkeiten überzeugen. Er fand vermeintlichen Konkurrenten, worauf hin Bielefeld bereit war, dessen Ladung abzukaufen. Bezüglich der noch vorhandenen Schulden der Obernkirchener Steinhauermeister bei anderen Bremer Steinhändlern hat sich der Verfasser eine Bürgschaft stellen lassen. Diese Schulden der Steinhauer erschweren einen endgültigen Abschluss des Monopolvertrags, da sich einige Steinhauermeister weigern die Höhe ihrer Schulden anzugeben, und die Kaufleute in Bremen auf die Rückzahlungen bestehen. Der Verfasser ""hoff[t] aber beyde und zwar letztere durch Tüke zu überwinden.""  Verfasser möchten den Preis anheben, auch da der Fuhrlohn nicht weiter verringert werden kann, auf Grund der schlechten Situation der Landleute. Da Bielefeldt die hohen Preise akzeptiert, spricht für den Verfasser allerdings nichts gegen die Preiserhöhung. Bielefeld will relativ geringe Mengen Stein abnehmen, um sein Risiko gering zu halten. Und dass obwohl, so der Verfasser, ""man wohl 12 bis 1500 fuder mit Gewißheit und nach Aussage des jetzigen Alt-Meisters - annehmen..."" Verfasser Möller schlüsselt die möglichen Gewinne nach 3 Preisstufen auf, wobei der 3. Preis  der Neue sei. ""Nach den 1ten Preis 5625 Rthlr, nach den 2ten 7916 [Rthlr] 24 Mgl. und nach den 3ten Neuen preißé - 10 000 Rthlr."" Es würde also ein hoher Gewinn erreicht. Möller erwartet nun letzte Anweisungen zum  weiteren Vorgehen und die Billigung seiner Aushandlungen.
Verknüpfungswunsch: ID #668; ID #745; ID #30",[?] Möller; Amtmann von Cölln (Rinteln); Hermann Bielefeldt; Johann Nonne; Agent Grovermann (Steinhändler Bremen); Brandt; Landgraf zu Hessen-Kassel,,HStAM,"55 a, Nr. 1608",12r-15v,
1774-05-12,"Anlage A Spezifikation der Preise des Obernkirchener Grausteins, bestätigt durch Jürgen Wilhelm Eichmann, Altmeister des Steinhaueramts","Anlage A zum am selben Tag verfassten Bericht zur Situation des Steinhandels. In der Tabelle werden neun verschiedene Steinsorten aufgeführt und die Preisentwicklung über drei Spalten dargestellt. Sorte 1 - 4 beschreiben Blocksteine zwischen 12 und 50 Kubikfuß, 5 und 6 umfassen zwei unterschiedliche Astrack- und Strecksteinsorten, während unter Punkt 7-9 verschieden Starke Plattstücke beinhalten. Der Altmeister des Steinhaueramts Jürgen Wilhelm Eichmann bezeugt mit seiner Unterschrift, dass derartige Preise bezahlt wurden und werden.
Verknüpfungswunsch: ID #12029; ID #745",ID #5703; Jürgen Wilhelm Eichmann (Altmeister des Obernkirchener Steinhaueramtes),,HStAM,"55a, Nr. 1608","18r, auch 73r",
1774-07-09,Bericht des Amtmanns B. von Cölln aus Obernkirchen über Übereinkunft im Sandsteinhandel mit Agent Grovermann,"Von Cölln berichtet, dass Grovermann den Steinhandel unter gewissen Bedingungen mit den Oberkirchener Steinhauern fortsetzen will. Von Cölln stellt einen späteren, ausführlicheren Bericht über die Konditionen in Aussicht. In einer mündlichen Besprechung zwischen Grovermann und von Cölln war es um die künftigen Auszahlungen von Vorschüssen an die Steinhauermeister in Oberkirchen gegangen. von Cölln erbittet die Erlaubnis, diese Zahlungen in Louisd´or auch außerhalb von Kassel direkt an den Kammerzahlmeister Wittig auszahlen zu lassen.
Verknüpfungswunsch: ID #745; ID #12029","ID #5703; Amtmann von Cölln, Agent Grovermann, hess. schaumbrg. Kammerzahlmeister Wittig",,HStAM,"55a, Nr. 1608",26r-v,
1774-07-19,"Beschluss des Collegio in Fulda über die Erlaubnis an Amtmann von Cölln, die Vorschüsse von Agent Grovermann wie gewünscht vom Kammerzahlmeister auszahlen zu lassen","""Resol. in Collegio d. 19ten July 1774, das die von dem Agent Grovermann auszustellende Assigantiones in soweit solche auf herrschaftliche Cassen gerichtet und acceptabler sind, angenommen, und darnach der amtmann von Cölln und Cammerzahlmeister Wittich beschieden werden soll, und ist dieses zu complettierung dene acten zum Berg-Protocole abzu geben""
Verknüpfungswunsch: ID #745; ID #12029","Agent Grovermann, Amtmann von Cölln, Kammerzahlmeister Wittich, P. R. Eu[t?]er (Sekretär Fulda?)",,HStAM,"55a, Nr. 1608",26r,
1774-12-06,Schreiben des Steinhaueramts zu Oberkirchen an Landgraf zu Hessen-Kassel mit Bitte der Monopolresolution des Amtmanns von Cölln bald zuzustimmen,"Das Steinhaueramt wendet sich an den Landgrafen, da es eine große Menge Stein abtransportieren lassen möchte, den Fuhrlohn ans Wasser aber nicht bezahlen kann, da ihre Kreditgeber, die Steinhändler aus Bremen erst bezahlen wollen, wenn sie Sicherheiten über die weitere Handelsbeziehungen hätten. Der Amtmann von Cölln habe ein Abkommen mit Bremer Steinhändlern ausgehandelt, dass nur noch durch den Landesherrn selbst bestätigt werden müsse. Die Steinhauer bitten den Landesherrn seine Zustimmung.
Verknüpfungswunsch: ID #745; ID #30; ID #668; ID #12029","ID #5703;  Landgraf zu Hessen-Kassel, Amtmann von Cölln.",,HStAM,"55a, Nr. 1608",30r-v,
1775-01-11,Schreiben des Obernkirchener Steinhaueramts an Landgraf zu Hessen-Kassel mit Bitte das Monopol der Bremer Steinhändler zu bestätigen,"Auf dem Brief findet sich zeitglich die amtliche Notiz, die mit dem 1775-01-19 datiert ist und eine Ablage des Schreibens in den Bergwerksprotokollen verlangt. Die Steinhauer beziehen sich auf ihr Schreiben vom 1774-12-06 und erneuern ihre Bitte an den Landesherrn, dass Monopol der Bremer Steinhändler auf den Handel mit Obernkirchener Sandstein zu bestätigen. Die Situation der Steinhaer habe sich finanziell verschärft, und die Bremer Kaufleute wollen eine Monopolbestätigung, bevor sie neue Vorschüsse an die Steinhauer zahlen wollen.
Verknüpfungswunsch: ID #745; ID #668; ID #30; ID #12029",ID #5703; Landgraf zu Hessen-Kassel,,HStAM,"55a, Nr. 1608",32r-33v,
1775-02-09,Bericht des Amtmann B. von Cölln an den Landgrafen zu Hessen-Kassel über seine Gründe und sein Vorgehen bei Entwicklung eines Handelsmonopols für Obernkirchener Sandstein,"Ausgelöst durch ein Schreiben eines Bremer Kaufmanns an den Regierungsrat Motz wurde Amtmann von Cölln aufgefordert die Focierung eines Steinhandelsmonopols zu erklären. von Cölln bezieht sich auf seinen Bericht zur Situation der Steinhauer vom 1773-12-05, und seinem nachfolgenden Bemühungen den Steinhandel der hess. Grafschaft Schaumburg zu verbessern. Als Gründe für die schwierige Situation führt er die Schulden der Steinhauermeister und den für die Versorgung der Steinhauer zu niedrigen Steinpreis an. von Cölln nennt die Preißerhöhung als einzigen Weg zur Verbesserung der Lage und begründet sie. Dabei geht er auch auf den Zustand der Steingruben ein, deren Kummer sich vermehrt und deren Bankdicke sich verringert hätte. Die Bremer Kaufleute als Kreditgeber werfen den Steinhauern in Obernkirchen einen schlechten Lebenswandel vor, was von Cölln aber abstreitet bzw. auf Verbesserungen seit 1773 hinweist. Ein weiterer den geringen Ertrag des Sandsteinabbaus sieht von Cölln in dem Stilllegen des Steinbruchs von Meister Knübel bereit 10 Jahre zuvor. von Cölln gibt zu, dass die Rechnungsführung der Steinhauer mangelhaft sei, und man die genauen Ein- und Ausgaben kaum nachvollziehen könne. Eine Preiserhöhung, so der Verfasser, sei aber darüber hinaus auch nützlich für den Steinhandel. von Cölln sei mit dem Steinhandel in Bremen vertraut, auch weil er selbst 9 Jahre in dieser Stadt zugebracht habe. Insbesondere mit Kaufmann Johann Nonne steht er im Kontakt. von Cölln zählt die Vor- und Nachteile der verschiedenen Konkurrenzsteinarten auf, um zu dem Schluss zu kommen, dass der Obernkirchener auf Grund seiner Qualität am beliebtesten sei. ""...und obgleich der Bentheimer den unserigen am nächsten kömt, und mit ihn in gleichen Preisen stehet; so komt er ihm doch in der Dauer gar nicht bey - wie dan auch in Amsterdam von Magistrat - diesen zu öffentlichen Stadt-Gebäuden zugebrauchen, gäntzlich verboten, dagegen aber - keinen anderen als den Unserigen anzunehmen befohlen werden-."" von Cölln verweist auf den Export von Stein nach Danzig, wo der polnische Stein fast nicht mehr benutzt würde und führt als weitere Beispiele das Amsterdamer Rathaus und das Kophenhagener Schloss auf. Interessanter Weise weist er aber auch darauf hin, dass beide Gebäude nicht allein aus Obernkirchener Stein gebaut sein können, da die Brüche diese Mengen nicht hergäben. Darüber hinaus wird ein Amsterdamer Steinhauer namens Pogemann erwähnt, der Stein für zwei Hausfassaden benötigte, den er nur unter Schwierigkeiten erhielt, aber trotzdem auf Obernkirchener Stein bestand. Die Sinnhaftigkeit der Preiserhöhung begründet von Cölln auch mit der Zustimmung des Steinhändlers Hermann Bielefeld, bereits dessen Vater war Steinhändler (60 Jahre Erfahrung) und des Agenten Grovermann, die keine Gefahr erkennen, dass die Preiserhöhung zu einer Verdrängung des Obernkirchener Steins durch andere, günstigere Steinsorten führen könne. von Cölln führt nun näheres zu den Verhandlungen über das Monopol auf. Insgesamt habe er Kontakt mit fünf Steinhändlern aus Bremen aufgenommen, namentlich Agent Grovermann, Hermann Bielefeldt, Johann Nonne, ein Meier (Schwiegersohn und Nachfolger des Steinhändlers Fopma) und ein Brand. Meier und Brand hat von Cölln als Partner ausgeschlossen, da der eine kein Interesse am Steinhandel zeige, der andere als ehemaliger braunschweiger Agent keinen Steinlagerplatz in Bremen besäße. Johann Nonne hätte von Cölln gerne als Partner gehabt, dieser stammt ebenfalls aus einer Steinhauerfamilie und von Cölln war mit dessen Vater bekannt. Nonne möchte sich aber nicht beteiligen, sondern sich gänzlich aus dem Handel zurückziehen, wenn die Steinhauer ihre Schulden gezahlt hätten. So kommt es zu einer Partnerschaft mit Hermann Bielefeldt und Agent Grovermann. Beide bestanden darauf, dass ihnen bei der Erhöhung der Preise ein Privileg auf den Sandsteinhandel ausgesprochen werde. von Cölln erhofft sich nun eine Zustimmung zu dieser Partnerschaft und zu dem Monopol.
Verknüpfungswunsch: ID #668; ID #745; ID #12029; ID #11756","ID #12031; B. von Cölln, Landgraf zu Hessen-Kassel, Agent Grovermann (Steinhändler Bremen), Hermann Bielefeldt (Steinhändler Bremen), Johann Nonne (Steinhändler Bremen), Meier (Schwiegersohn von Fopma, Steinhändler Bremen), Brand (Braunschweiger Agent), Steinhauermeister Knübel (Obernkirchen)",,HStAM,"55a, Nr. 1608",38r-46v,
1775-02-23,Schreiben der Kriegs- und Domainenkammer an den Landgrafen zu Hessen-Kassel zur Unterstützung der Forderungen der Oberkirchener Steinhauer bei der Erlangung eines Privileges für den Sandsteinhandel mit ausgewählten Bremer Steinhändlern,"Auf Bitten der Obernkirchener Steinhauerzunft wendet sich der Verfasser an den Landesherrn. Er versichert, dass kein Monopol an sich errichtet werden soll, der freie Handel mit Sandstein allerdings nicht genügend für den Lebensunterhalt der Steinhauer abwirft. Die vom Obernkirchener Amtmann B. von Cölln geschlossenen Vereinbarung mit ausgewählten Bremer Steinhändlern, so ist der Verfasser überzeugt, werden den Handel wieder in Schwung bringen. Zum einen da höhere Preise bezahlt, zum anderen da die Kaufleute Grovermann und Bielefeld  zugestimmt hätten, bereits bei der Bestellung des Steins einen Vorschuss zu gewähren und den zweiten Teil der Rate nach dem Transport zum Wasser zu bezahlen. Direkt am Anfang wird auf eine beiligende Anlage verwiesen.
Verknüpfungswunsch: ID #745; ID #668; ID #11756; ID #12029; ID #30","ID #5703; Kriegs- und Domainenkammer (Warenitz, Zenthier, Nopp, Schwartzenberg), Landgraf zu Hessen-Kassel, Amtmann zu Obernkirchen B von Cölln, Bremer Kaufmann Grovermann, Bremer Kaufmann Bielfeld, ",,HStAM,"55a, Nr. 1608",53r-56r,
1775-06-15,Bericht des Rates und Advocatus fisci Eigenbrodt in Rinteln an den Landgrafen zu Hessen-Kassel über den Zustand des schaumburgischen Steinhandels,"Bericht Eigenbrodt über den Zustand des Steinhandels und der finanziellen Lage der Obernkirchener Steinhauer. Abgrenzung gegenüber den Vorschläge des Amtmanns von Cölln. Eigenbrodt führt eigene Lösungsvorschläge unabhängig von einem Exklusivvertrag zwischen der Steinhauergilde und den Bremer Kaufleuten Grovermann und Bielfeld an. Als Gründe für den Rückgang des Steinhandels nennt Eigenbrodt ""Es ist noch nicht ohne, daß die Steinhauer, im Stoltz auf die täglich vor Augen habende große Reichthümer ihrer Steinbrüche, in denen neueren Zeiten, zur Gemächtlichkeit und Verschwendung geführet worden und vor die Erhaltung ihres Handels nicht betriebsam genug gewesen."" So stieg die Verschuldung der Gildeangehörigen bei Bremer Kaufleuten bereits vor dem Krieg an und wurde durch den Krieg noch vermehrt. Insbesondere durch die fehlenden Abtransportmöglichkeiten und die schlechten Wege erhöhte sich der Preis für den Landtransport beträchtlich und der Vorschuss der Kaufleute reichte nicht länger aus. Eigenbrodt nennt als ausstehende Gelder der Bremer 2000 Rthlr, wie er ""durch privat correspondentz in Erfahrung bringen könne..."" Eigenbrodt geht auf die Versuche des Amtmanns von Cölln ein, die Lage der Steinhauer durch eine privilegierte Handelsbeziehung mit den Bremer Kaufleuten Grovermann und Bielefeld für 10 Jahre zu verbessern. Eigenbrodt bezieht sich auf die Preiserhöhungen vom 1774-05-12. Ein Vertrag mit lediglich zwei ehemaligen Kreditgebern erleichtert die Situation aber nicht für denjenigen Steinhauer, welche Schulden bei anderen Bremer Händlern haben. Deshalb schlägt Eigenbrodt fünf Punkte für eine Lösung vor. 1. Die Verbesserung der Wege von den Steinbrüchen bis zum ""Obernkrichener Kohlen-Weg."" 2. Zur Besänftigung der Bremer Kreditgeber soll durch den Landesherrn eine aktivere Gestaltung des Handels geschehen, um den Bremern die Sicherheit zu geben, dass die Situation verbessert wird. Darüber hinaus möchte Eigenbrodt herausfinden, ob sich die übrigen Kreditgeber auf denselben Vergleich wie Grovermann und Bielfeld einlassen. 3. sollen die einzelnen Kaufleute jeweils eigene Verträge mit ihren Vorschussgebern aushandeln, so dass jeder der besonders fleißig ist, seine Schulden senken, und den anderen ein Vorbild sein kann. 4. Um den Etat der gesamten Zunft einschätzen zu können, sollen ""2 bis 3 der wohlhabensten und redlichsten Meister, auf die man Vertrauen haben kann dazu ernent, Instriret und verpflichtet würden, um die von denen Kaufleuten, zum Betrieb des Handels eingesede Gelder in Empfangzu nehmen, darüber richtige Rechnung, auch mit denen Kaufleuten die Correspondence zu führen, Monathlich aber so wohl an die Gilde, als auch an den zu bestellenden Commissarium zuverlaßige Etats abzugeben, damit der gantze haushalt von zeit zu Zeit übersehen - und nach Umständen der Sache das weiters erforderliche vorgekehrt werden kann."" Dies würde auch Unterschlagung verhindern. Eigenbrodt verlangt 5. ein wöchentliches Verzeichnis über den Steinvorrat eines jeden Meisters.
Verknüpfungswunsch: ID #668; ID #745; ID #12029; ID #748","ID #5703; Rat und Advocatus fisci Eigenbrodt, Bremer Kaufmann Grovermann, Bremer Kaufmann Bielfeld, Amtmann B. von Cölln, Landgraf zu Hessen-Kassel.",,HStAM,"55 a, Nr. 1608",66r-72r,
1775-08-31,Notiz auf dem Bericht von Advocatus fisci Egenbrodt durch [?] Nopp?,"Notiz zum Bericht des Advocatus fisci und Rates in Rinteln Eigenbrodt mit Bezugnahme auf ein Treffen des Verfassers mit Rat Eigenbrodt, Amtmann von Cölln und Amtmann Pasor zum Thema Anregung des Sandsteinhandels. Dafür hat Verfasser die Akten von Camer-Director Zarthier eingesehen und mit Etate-Minister v. Waveitz. Es soll noch ein gemeinsames Konzept erarbeitet werden.
Verknüpfungswunsch: ID #748; ID #11756","Nopp, Rat und Advocatus fisci Eigenbrodt, Amtmann von Cölln, Amtmann Pasor, Camer-Director Zarthier, Etat-Minister v. Waveitz.",,HStAM,"55 a, Nr. 1608",66r-v,
1776-06-15,Eingabe des Steinhändlers und Steinhaueramtsmeisters Hermann Bielfeld an den Rat der Stadt Bremen bezüglich der Finanzierung und des Voschußgeschäftes der Bremer Steinhändler in Obernkirchen,"Hermann Bielfeld wendet sich an den Rat der Stadt Bremen, damit dieser sich bei der Rintelner Kommission für den Steinhandel dafür einsetzt, dass Bielfeld für seine bisher gezahlten Vorschuss Steine zum vorher abgemachten Preis erhält. Durch den Bergrat von Cölln sei er informiert worden, dass die Steine nun zu einem höhren Preis verkauft werden sollen, und ihm dadurch ein Verlust entstehen würde, da er zweimal zahlen müsse. Darüber hinaus sei ein Abtransport seiner durch Vorschuss bisher gerlangten Steine in den letzten Jahren nicht möglich gewesen, weshalb er ebenfalls in Schwierigkeiten gekommen sei. 
Verknüpfungswunsch: ID #11756; ID #668; ID #745; ID #748; ID #30","ID #753; Hermann Bielfeld (Steinhändler und Steinhaueramtsmeister Bremen), Bergrat von Cölln (Bergrat Obernkirchen), Amtsrat Pasor (Schaumburg), Rat Eigenbrod (Rinteln), Regierung zu Hessen-Kassel",,StAB,2-S.2.v.10.a,unfoliert,
1777-03-18,"Bericht von Rat Eigenbrodt, Bergrat von Cölln und Amtmann Pasor an Landgrafen Zu Hessen-Kassel bezüglich Konflikt um Auszahlung der Kreditgeber für Sandsteinhandel","Der Agent Grovermann, Steinhändler aus Bremen, hatte eine Beschwerde gegen die allgemeine Erhöhung der Steinpreise eingelegt und möchte, auf Grund der getätigten Vorschüsse, den Stein weiterhin zu den alten Preisen beziehen bzw. er habe die Steine durch die Vorschüsse bereits bezahlt. Verfasser machen aber deutlich, dass 1775-09-19 eine Instruction erlassen wurde, mit dem Inahlt die Preise zu erhöhen und aus dem daraus erfolgten Gewinn die Schulden der Steinhauergilde abzubezahlen. Alle Kreditgeber, ""bis auf den Agent Grovermann"" haben der Preiserhöhung zugestimmt. ""Grovermann setzet den Grund seines Wiederspruches darinnen, daß Er die bereits in denen Brüchen oder an der Weser gefördert liegende Steine in den Niederen Preiß erkauft und bezahlt, folgich nicht nötig haben, die Steinen nun in einem höheren Preiß, weilen sie schon sein Eigenthum wären anzunehmen."" Verfasser gehen nun näher auf Steinhandel ein. Außer Georg Conradt Farlemann sind alle Obernkirchener Steinhauer von mehr als einem Kaufmann abhängig. ""Ein jeder Meister hat von 3 auch wohl 4 Kaufleuten Geld aufgenommen, um Steine dafür zu liefern, folglich sind diejenige Steine [...] zur Befriedung aller Ihrer Gläubiger bestimmt."" Aus diesem Grund kann Grovermann nicht sämtliche Steine für sich beanspruchen. Auch sein mit seinem Schuldner ausgehandelter Vertrag wird aufgehoben, da die ""Befriedigung"" der übrigen Kreditgeber ebenso notwendig sei. Im Oktober 1775 habe es eine gerichtliche Übereinkunft gegeben, durch die Erhöhung des Steinpreises das wirtschaftliche Überleben der Steinhauergilde zu sichern. ""Die Kaufleute [?]arten aus Minden und Bielefeld aus Bremen, die alleine an die 20 000 Rthlr Forderung haben, geben die erhöhete Preiße auch von denen Steinen, worauf Sie aber so wie Grovermann, lange vorher Geld vorgeschossen haben, wie kann also der Agent Groverman sich deßen entziehen, da Er ja selbsten vorhero, gegen einen gesuchten alleinigen Steinhandel, zu dem erhöheten Preise sich asochn erbotten hat."" Die Weigerung Grovermanns die Erhöhung des Steinpreises anzuerkennen führt zum Verzug in der Durchsetzung der herrschaftlichen Instruktion zur Verbesserung des Sandsteinhandels. Landesherr soll Grovermanns Beschwerde abwenden. Als zweiter Punkt geht es um eine Beschwerde des Bremer Steinhändlers Bielefeld, welcher nicht genügen Stein geliefert bekommen habe. ""Wir müßen würcklich gestehen, daß die Abfahrt im verschenen Jahr überall schwach gewesen, indessen da das immer niedrige Waßer in der Weser, dieses ohnablenklich verhindert hat, wie dieses dem Bielefeld selbsten bekant ist, so sehen wir nicht ab, wie derselbe deshalb mit Grunde sich beschweren könne. Nach der Einigung mit Grovermann ""der gantzen Einrichtung nichts mehr im Wege lieget...""
Verknüpfungswunsch: ID #668; ID #745; ID #11756; ID #12029; ID #30","Rat und Advocatus fisci Eigenbrodt (Rinteln), Bergrat B. v. Cölln (Obernkirchen), Amtmann Pasor (Schaumburg), Landgraf zu Hessen-Kassel, Agent Grovermann (Steinhändler in Bremen), Steinhändler Bielefeld (Bremen), Georg Conrad Fralemann (Steinhaermeister Obernkirchen), Steinhändler [?]artman (Minden)",,HStAM,"55 a, Nr. 1608",105r-108v,
1778-04-06,Schreiben von [?] und Schwarzenberg aus Cassel an Bergrat von Coelln in Obernkirchen bezüglich Überwachung des Steinhandels,"Hinweis darauf, dass sämtliche Steinhauer wöchentlich ihre ""Ladebücher"" dem ""interims Bergschreiber Zerbst"" vorgelegt werden müssen. Dieser übernimmt die Angaben dann in sein Register, darf sich aber nicht allein auf die Angaben der Meister verlassen, sondern diese auch nachprüfen, um Unterschlagungen zu verhindern.
Verknüpfungswunsch: ID #30; ID #745; ID #11756","ID #5703,; Z[?], Schwarzenberg (Kassel), Bergrat von Coelln (Obernkirchen), Bergschreiber Zerbst (Obernkirchen)",,HStAM,"55 a, Nr. 1608",119r-v,
1779-12-23,"Schreiben von [?] und Schwarzenberg aus Kassel an Bergrat von Coelln, Amtsrat Pasor und Rat Eigenbrodt bezüglich der Vorschussbitten der Steinhauermeister Timmer und Farlemann","Die Kasseler Verfasser wenden sich an die Adressaten mit der Bitte, ihre Entscheidung bezüglich der Vorschussgesuche der beiden Obernkirchener Steinhauermeister zur Kenntnis zu nehmen.  Erich Wilhelm Timmer soll kein Vorschuss gewährt werden, sondern solle sich der allgemeinen Verfügung der Preiserhöhung beugen. Georg Conrad Farlemann soll ebenfalls keinen Vorschuss erhalten, die alten Schulden sollen bezahlt, aber keine neuen aufgenommen werden. ""Es hat der Supplicant sich daher mit der Steinförderung nach dem Abgang zu richten.""
Verknüpfungswunsch: ID #30; ID #745; ID #11756","ID #5703; [?] (Kassel), Schwarzenberg (Kassel), Bergrat von Coelln (Obernkirchen), Rat Eigenbordt (Rinteln), Amtsrat Pasor (Schaumburg), Steinhauermeister Erich Wilhelm Timmer (Obernkirchen), Scheinhauermeister Georg Conrad Farlemann (Obernkirchen)",,HStAM,"55 a, Nr. 1608",133r-v,
